name,github,stars,description,paper_blog,tags
AutoGPT,https://github.com/Significant-Gravitas/Auto-GPT,177000,Accessible AI tools for building and using AI agents with comprehensive framework including Forge for agent creation,https://autogpt.net,"Autonomous Agent, Framework, Multi-Modal"
LangChain,https://github.com/langchain-ai/langchain,113000,Framework for developing applications powered by language models with composability and tool integration,https://docs.langchain.com,"Framework, Tool-Using Agent, RAG"
OpenDevin/OpenHands,https://github.com/All-Hands-AI/OpenHands,61000,Open-source AI software engineer designed to understand high-level coding tasks and execute them autonomously,https://opendevin.ai,"Coding Agent, Software Engineering, Autonomous Agent"
Open Interpreter,https://github.com/KillianLucas/open-interpreter,60000,Coding agent enabling language models to execute code locally with natural-language computer interaction,https://openinterpreter.com,"Coding Agent, Local Execution, Tool-Using Agent"
MetaGPT,https://github.com/geekan/MetaGPT,58000,Multi-agent framework enabling GPT to collaborate within a software company for complex tasks,https://arxiv.org/abs/2308.00352,"Multi-Agent, Software Engineering, Collaborative Agent"
GPT Engineer,https://github.com/gpt-engineer-org/gpt-engineer,55000,AI-powered tool for specifying software in natural language and automatically generating code,https://gptengineer.app,"Coding Agent, Natural Language Programming, Autonomous Agent"
Microsoft AutoGen,https://github.com/microsoft/autogen,48000,Multi-agent conversation framework for developing next-gen LLM applications with enhanced collaboration,https://microsoft.github.io/autogen/,"Multi-Agent, Conversation Framework, Microsoft"
LlamaIndex,https://github.com/run-llama/llama_index,43000,Framework for building context-augmented generative AI applications with LLMs and data agents,https://docs.llamaindex.ai,"RAG Agent, Data Framework, Context-Augmented"
CrewAI,https://github.com/crewAIInc/crewAI,35000,Cutting-edge framework for orchestrating role-playing, autonomous AI agents with seamless collaboration,https://crewai.com,"Multi-Agent, Role-Playing, Orchestration"
AgentGPT,https://github.com/reworkd/AgentGPT,35000,Platform allowing users to configure and deploy autonomous AI agents for any desired goal,https://agentgpt.reworkd.ai,"Autonomous Agent, Web Platform, Goal-Oriented"